Start,End,Open,High,Low,Close,Volume,Market
5/6/2012,5/7/2012,5.0499,5.0499,5.0499,5.0499,0,0
5/5/2012,5/6/2012,5.077,5.077,5.077,5.077,0,0
5/4/2012,5/5/2012,5.067,5.067,5.067,5.067,0,0
5/3/2012,5/4/2012,5.1344,5.1344,5.1344,5.1344,0,0
5/2/2012,5/3/2012,5.0737,5.0737,5.0737,5.0737,0,0
5/1/2012,5/2/2012,5,5,5,5,0,0
4/30/2012,5/1/2012,4.9491,4.9491,4.9491,4.9491,0,0
4/29/2012,4/30/2012,4.9044,4.9044,4.9044,4.9044,0,0
4/28/2012,4/29/2012,4.9794,4.9794,4.9794,4.9794,0,0
4/27/2012,4/28/2012,5.1095,5.1095,5.1095,5.1095,0,0
4/26/2012,4/27/2012,5.0976,5.0976,5.0976,5.0976,0,0
4/25/2012,4/26/2012,5.1318,5.1318,5.1318,5.1318,0,0
4/24/2012,4/25/2012,5.0982,5.0982,5.0982,5.0982,0,0
4/23/2012,4/24/2012,4.96,4.96,4.96,4.96,0,0
4/22/2012,4/23/2012,5.2035,5.2035,5.2035,5.2035,0,0
4/21/2012,4/22/2012,5.2601,5.2601,5.2601,5.2601,0,0
4/20/2012,4/21/2012,5.35,5.35,5.35,5.35,0,0
4/19/2012,4/20/2012,5.1377,5.1377,5.1377,5.1377,0,0
4/18/2012,4/19/2012,5.1178,5.1178,5.1178,5.1178,0,0
4/17/2012,4/18/2012,4.9759,4.9759,4.9759,4.9759,0,0
4/16/2012,4/17/2012,4.932,4.932,4.932,4.932,0,0
4/15/2012,4/16/2012,4.9689,4.9689,4.9689,4.9689,0,0
4/14/2012,4/15/2012,4.9597,4.9597,4.9597,4.9597,0,0
4/13/2012,4/14/2012,4.94,4.94,4.94,4.94,0,0
4/12/2012,4/13/2012,4.9197,4.9197,4.9197,4.9197,0,0
4/11/2012,4/12/2012,4.9279,4.9279,4.9279,4.9279,0,0
4/10/2012,4/11/2012,4.8367,4.8367,4.8367,4.8367,0,0
4/9/2012,4/10/2012,4.8719,4.8719,4.8719,4.8719,0,0
4/8/2012,4/9/2012,4.7925,4.7925,4.7925,4.7925,0,0
4/7/2012,4/8/2012,4.6872,4.6872,4.6872,4.6872,0,0
4/6/2012,4/7/2012,4.9499,4.9499,4.9499,4.9499,0,0
4/5/2012,4/6/2012,4.919,4.919,4.919,4.919,0,0
4/4/2012,4/5/2012,4.9101,4.9101,4.9101,4.9101,0,0
4/3/2012,4/4/2012,4.952,4.952,4.952,4.952,0,0
4/2/2012,4/3/2012,4.974,4.974,4.974,4.974,0,0
4/1/2012,4/2/2012,4.827,4.827,4.827,4.827,0,0
3/31/2012,4/1/2012,4.9087,4.9087,4.9087,4.9087,0,0
3/30/2012,3/31/2012,4.86,4.86,4.86,4.86,0,0
3/29/2012,3/30/2012,4.8084,4.8084,4.8084,4.8084,0,0
3/28/2012,3/29/2012,4.788,4.788,4.788,4.788,0,0
3/27/2012,3/28/2012,4.8113,4.8113,4.8113,4.8113,0,0
3/26/2012,3/27/2012,4.6191,4.6191,4.6191,4.6191,0,0
3/25/2012,3/26/2012,4.55,4.55,4.55,4.55,0,0
3/24/2012,3/25/2012,4.676,4.676,4.676,4.676,0,0
3/23/2012,3/24/2012,4.686,4.686,4.686,4.686,0,0
